,ajuntament-de-valencia,aqua-multiespacio,bastard-coffee-kitchen,bioparc-valencia,bombas-gens-centre-dart,canalla-bistro,ciutat-de-les-arts-i-les-ciencies-ciudad-de-las-artes-y-las-ciencias,el-cabanyal,el-poblet-restaurante,estacion-del-norte,jardi-botanic-de-la-universitat-de-valencia,jardin-del-turia,la-mas-bonita,la-patacona-alboraya,lambrusqueria,llotja-de-la-seda,marina-beach-club-valencia,mercado-del-cabanyal,mercat-central-de-valencia,mercat-de-russafa,oceanografic-valencia,palacio-de-la-generalidad-valenciana,palau-de-les-arts-reina-sofia,platja-de-la-malva-rosa,playa-de-la-patacona,plaza-de-toros-de-valencia,port-saplaya-alboraya,puerto-de-valencia,valencia-el-mercat,veles-e-vents
ajuntament-de-valencia,0.0,2.5793650793650795,0.7797270955165692,2.569169960474308,1.0266940451745379,0.7889546351084813,4.105960264900662,2.244039270687237,0.2159827213822894,9.646302250803858,2.2304832713754648,2.18978102189781,1.3888888888888888,1.1560693641618498,0.2,5.892857142857143,1.7857142857142858,1.7130620985010707,7.009345794392523,1.4893617021276595,2.0123839009287927,5.523809523809524,4.301075268817204,1.8433179723502304,2.640845070422535,5.524861878453039,2.197802197802198,2.93040293040293,2.823529411764706,2.037037037037037
aqua-multiespacio,2.5793650793650795,0.0,1.7114914425427872,1.4563106796116505,1.2953367875647668,0.49019607843137253,2.0864381520119224,2.6143790849673203,0.0,2.4691358024691357,1.1261261261261262,1.1013215859030836,1.9900497512437811,1.9230769230769231,0.7556675062972292,1.2345679012345678,0.9803921568627451,2.4657534246575343,1.9130434782608696,0.5347593582887701,1.4545454545454546,2.2573363431151243,1.9067796610169492,1.953125,4.329004329004329,1.5053763440860215,1.1061946902654867,2.9017857142857144,0.29850746268656714,1.580135440180587
bastard-coffee-kitchen,0.7797270955165692,1.7114914425427872,0.0,0.7228915662650602,1.5584415584415585,4.591836734693878,0.0,1.2903225806451613,1.1142061281337048,0.8680555555555556,1.3544018058690745,1.3245033112582782,5.943152454780361,0.2364066193853428,4.438642297650131,0.6134969325153374,0.4878048780487805,1.6304347826086956,1.3840830449826989,0.5347593582887701,0.17953321364452424,1.5695067264573992,0.8385744234800838,1.2936610608020698,1.0482180293501049,0.6396588486140725,0.21929824561403508,0.4357298474945534,0.5988023952095808,0.8968609865470852
bioparc-valencia,2.569169960474308,1.4563106796116505,0.7228915662650602,0.0,0.25510204081632654,0.7334963325183375,1.3274336283185841,0.9615384615384616,0.27472527472527475,0.690846286701209,0.2222222222222222,1.0964912280701755,0.24330900243309003,0.4716981132075472,0.5,1.2295081967213115,1.9704433497536946,0.26666666666666666,1.9064124783362217,0.5319148936170213,6.4638783269961975,1.1111111111111112,1.0460251046025104,1.2903225806451613,1.4675052410901468,1.4989293361884368,2.0,1.091703056768559,0.29673590504451036,0.8928571428571429
bombas-gens-centre-dart,1.0266940451745379,1.2953367875647668,1.5584415584415585,0.25510204081632654,0.0,2.1220159151193636,0.45662100456621,2.030456852791878,1.1976047904191616,2.2058823529411766,3.1630170316301705,0.6960556844547564,0.2604166666666667,1.7857142857142858,0.5361930294906166,1.965065502183406,0.5194805194805194,1.749271137026239,2.372262773722628,3.235294117647059,0.0,3.3816425120772946,1.55902004454343,1.3368983957219251,1.5555555555555556,0.9029345372460497,0.46511627906976744,1.3953488372093024,0.974025974025974,1.9184652278177459
canalla-bistro,0.7889546351084813,0.49019607843137253,4.591836734693878,0.7334963325183375,2.1220159151193636,0.0,0.4437869822485207,0.974025974025974,6.25,0.34904013961605584,0.22624434389140272,0.22123893805309736,1.7632241813602014,0.966183574879227,3.4120734908136483,0.20618556701030927,0.7444168734491315,1.6574585635359116,1.0452961672473868,0.8174386920980926,0.0,0.449438202247191,0.2109704641350211,1.0403120936280885,0.21052631578947367,0.21505376344086022,0.6696428571428571,0.22026431718061673,0.303951367781155,0.9090909090909091
ciutat-de-les-arts-i-les-ciencies-ciudad-de-las-artes-y-las-ciencias,4.105960264900662,2.0864381520119224,0.0,1.3274336283185841,0.45662100456621,0.4437869822485207,0.0,1.5855039637599093,0.4769475357710652,2.781136638452237,0.8426966292134831,2.6798307475317347,1.0416666666666667,2.514792899408284,0.0,1.6021361815754338,2.406015037593985,0.1557632398753894,3.762135922330097,1.2558869701726845,6.435006435006435,1.262272089761571,4.3115438108484,2.3346303501945527,3.586206896551724,2.6315789473684212,2.2535211267605635,2.5280898876404496,1.5100671140939597,1.4104372355430184
el-cabanyal,2.244039270687237,2.6143790849673203,1.2903225806451613,0.9615384615384616,2.030456852791878,0.974025974025974,1.5855039637599093,0.0,0.5244755244755245,1.9280205655526992,0.916030534351145,1.0542168674698795,0.6472491909385113,2.4154589371980677,1.3245033112582782,2.1770682148040637,0.970873786407767,7.918968692449355,2.967741935483871,1.5544041450777202,0.7853403141361257,2.3076923076923075,1.7621145374449338,4.079497907949791,1.313868613138686,1.183431952662722,1.2102874432677762,3.2208588957055215,1.4814814814814814,1.8461538461538463
el-poblet-restaurante,0.2159827213822894,0.0,1.1142061281337048,0.27472527472527475,1.1976047904191616,6.25,0.4769475357710652,0.5244755244755245,0.0,0.0,0.25316455696202533,0.24691358024691357,1.13314447592068,0.5420054200542005,2.359882005899705,0.0,0.0,0.6269592476489029,0.5660377358490566,0.3105590062111801,0.0,0.2506265664160401,0.7058823529411765,0.27472527472527475,0.468384074941452,0.0,0.0,0.0,0.7117437722419929,0.5063291139240507
estacion-del-norte,9.646302250803858,2.4691358024691357,0.8680555555555556,0.690846286701209,2.2058823529411766,0.34904013961605584,2.781136638452237,1.9280205655526992,0.0,0.0,2.5041736227045077,3.654485049833887,0.7005253940455342,2.972027972027972,1.073345259391771,5.457463884430177,1.0507880910683012,2.0833333333333335,6.827880512091038,3.4416826003824093,1.6877637130801688,5.641025641025641,5.040650406504065,2.1551724137931036,2.535657686212361,9.450171821305842,1.468189233278956,2.622950819672131,3.7267080745341614,2.329450915141431
